house_type,room_count,house_size,location,city,latitude,longitude,num_bathrooms,num_balconies,security_deposit,status,price
Apartment ,2 BHK,1250.0,Balewadi,Pune,18.5743351,73.7727356,2.0,2.0,<=100k,Semi-Furnished,25000
Independent Floor ,3 BHK,2000.0,Greater Kailash,Delhi,28.5448494,77.24253845,3.0,0.0,,Semi-Furnished,150000
Villa ,4 BHK,5896.0,Navjeevan Vihar,Delhi,28.53347588,77.19955444,4.0,2.0,>100k,Unfurnished,401105
Apartment ,1 BHK,650.0,Dombivali,Mumbai,19.20880127,73.09664917,2.0,0.0,0,Semi-Furnished,15000
Apartment ,2 BHK,900.0,Dadar East,Mumbai,19.01447678,72.84549713,,0.0,,Furnished,60000
Independent Floor ,3 BHK,2856.0,Panchsheel Enclave,Delhi,28.54351997,77.22973633,3.0,2.0,>100k,Unfurnished,301012
Apartment ,4 BHK,3600.0,Greater Kailash,Delhi,28.53805542,77.24464417,,0.0,>100k,Semi-Furnished,150000
Apartment ,1 BHK,650.0,Andheri East,Mumbai,19.15122414,72.82866669,1.0,0.0,0,Furnished,42000
Apartment ,2 BHK,753.0,Thane West,Mumbai,19.22478485,72.97016144,2.0,0.0,0,Semi-Furnished,37000
Villa ,4 BHK,5896.0,Jor bagh,Delhi,28.67728996,77.15930176,4.0,2.0,>100k,Unfurnished,1418181
Apartment ,2 BHK,658.0,Hinjewadi,Pune,18.59685707,73.69957733,2.0,0.0,0,Unfurnished,15000
Apartment ,2 BHK,923.0,Goregaon West,Mumbai,19.15022278,72.8476181,2.0,0.0,0,Semi-Furnished,60000
Apartment ,1 BHK,621.0,Wagholi,Pune,18.57613182,74.00145721,,1.0,<=100k,Unfurnished,9000
Independent Floor ,3 BHK,1800.0,Rajouri Garden,Delhi,28.64152908,77.12091064,3.0,0.0,0,Furnished,53000
Independent Floor ,3 BHK,2856.0,Golf Links,Delhi,28.59763908,77.23332977,3.0,2.0,>100k,Unfurnished,401012
Apartment ,2 BHK,766.0,Goregaon East,Mumbai,19.1738739,72.87392426,,0.0,>100k,Semi-Furnished,55000
Apartment ,2 BHK,1050.0,Chembur,Mumbai,19.05386925,72.88916016,2.0,0.0,0,Unfurnished,46000
Apartment ,3 BHK,1500.0,Powai,Mumbai,19.11481285,72.90932465,,0.0,0,Furnished,80000
Apartment ,2 BHK,,Kharghar,Mumbai,19.07176971,73.07587433,2.0,0.0,0,Semi-Furnished,28000
Independent Floor ,3 BHK,2000.0,Preet Vihar,Delhi,28.6364193,77.29275513,3.0,0.0,0,Semi-Furnished,45000
,4 BHK,2700.0,Pitampura,Delhi,28.69230652,77.14048004,3.0,0.0,0,Semi-Furnished,75000
Apartment ,2 BHK,1400.0,Santacruz East,Mumbai,19.0825882,72.85115051,2.0,0.0,0,Semi-Furnished,62000
Apartment ,3 BHK,2100.0,Baner,Pune,18.57022858,73.77071381,3.0,0.0,0,Furnished,100000
Apartment ,1 BHK,450.0,Malviya Nagar,Delhi,28.61302757,77.09531403,1.0,1.0,<=100k,Semi-Furnished,12000
Apartment ,2 BHK,950.0,Saket,Delhi,28.52349854,77.20964813,2.0,0.0,0,Furnished,30000
,2 BHK,1200.0,NIBM Annex Mohammadwadi,Pune,18.4762764,73.90934753,2.0,2.0,,Semi-Furnished,23000
,2 BHK,945.0,Tathawade,Pune,18.6384201,73.73475647,2.0,0.0,0,Semi-Furnished,13100
Apartment ,3 BHK,1642.0,Kandivali West,Mumbai,19.20575714,72.82209778,3.0,0.0,,Semi-Furnished,50000
Independent Floor ,3 BHK,,Paschim Vihar,Delhi,28.67886734,77.09030914,2.0,0.0,0,Semi-Furnished,22000
Independent Floor ,4 BHK,5562.0,Greater Kailash II,Delhi,28.53174019,77.24913788,4.0,2.0,>100k,Unfurnished,301202
Apartment ,2 BHK,963.0,Wagholi,Pune,18.57494926,74.00061035,2.0,2.0,<=100k,Semi-Furnished,12000
Apartment ,3 BHK,1500.0,Sector 7 Dwarka,Delhi,28.58943748,77.0688324,2.0,0.0,0,Semi-Furnished,35000
Independent Floor ,3 BHK,2856.0,Greater Kailash II,Delhi,28.53174019,77.24913788,3.0,2.0,>100k,Unfurnished,301011
Apartment ,2 BHK,,Tardeo,Mumbai,18.96496964,72.80918121,2.0,0.0,0,Semi-Furnished,90000
Apartment ,2 BHK,900.0,Ville Parle East,Mumbai,19.0951004,72.8605957,,0.0,0,Furnished,65000
Independent Floor ,4 BHK,6251.0,Navjeevan Vihar,Delhi,28.53347588,77.19955444,4.0,2.0,>100k,Unfurnished,235562
Apartment ,2 BHK,900.0,Kandivali West,Mumbai,19.20372581,72.83464813,2.0,0.0,0,Semi-Furnished,50000
,2 BHK,1008.0,Mulund West,Mumbai,19.15857124,72.94791412,2.0,0.0,,Semi-Furnished,38000
Apartment ,2 BHK,1000.0,Hinjewadi,Pune,18.58396339,73.69768524,2.0,0.0,0,Unfurnished,17000
Apartment ,2 BHK,1400.0,Kharadi,Pune,18.54661369,73.93197632,2.0,0.0,0,Furnished,43000
